imdb_id,age
tt0210945,kid
tt0093177,adult
tt0095294,adult
tt0104409,adult
tt0055608,na
tt0060397,na
tt0208988,adult
tt0212338,teen
tt0180093,na
tt0213790,adult
tt0089200,teen
tt0249462,adult
tt0230030,teen
tt0223897,teen
tt0192255,kid
tt0160127,teen
tt0146984,teen
tt0203019,adult
tt0199753,teen
tt0066995,kid
tt0216216,teen
tt0186894,teen
tt0170016,kid
tt0213203,kid
tt0211181,kid
tt0180073,adult
tt0217869,teen
tt0190332,teen
tt0190374,teen
tt0190865,teen
tt0086993,kid
tt0093428,kid
tt0092106,kid
tt0094291,adult
tt0096969,adult
tt0096219,adult
tt0088850,kid
tt0208092,adult
tt0095927,adult
tt0241303,teen
tt0242423,teen
tt0120917,kid
tt0183659,adult
tt0207201,teen
tt0181536,teen
tt0219699,adult
tt0162222,teen
tt0200720,kid
tt0212346,teen
tt0190590,teen
tt0219653,adult
tt0146309,teen
tt0181865,adult
tt0189998,adult
tt0083564,kid
tt0101757,teen
tt0053580,na
tt0090670,adult
tt0218817,teen
tt0206275,teen
tt0194218,adult
tt0237572,adult
tt0186589,teen
tt0209475,teen
tt0092618,adult
tt0092644,adult
tt0086960,adult
tt0092718,teen
tt0092746,teen
tt0092965,kid
tt0092974,kid
tt0083907,na
tt0093278,teen
tt0093300,teen
tt0093407,adult
tt0093437,adult
tt0093493,kid
tt0093507,kid
tt0093560,teen
tt0192111,teen
tt0212985,adult
tt0239948,teen
tt0265632,kid
tt0230838,teen
tt0166276,teen
tt0233142,adult
tt0236493,adult
tt0244504,teen
tt0179626,adult
tt0059245,na
tt0053793,na
tt0080421,kid
tt0099385,adult
tt0101764,adult
tt0102005,adult
tt0085868,adult
tt0100140,teen
tt0091474,adult
tt0077413,kid
tt0071771,adult
tt0087015,adult
tt0215750,adult
tt0242445,adult
tt0209144,adult
tt0227538,kid
tt0246989,adult
tt0236784,adult
tt0245712,adult
tt0164334,adult
tt0221027,adult
tt0235679,kid
tt0268200,teen
tt0243155,adult
tt0245686,teen
tt0231402,kid
tt0086250,adult
tt0132245,teen
tt0141907,adult
tt0209163,teen
tt0056937,kid
tt0085811,kid
tt0084917,adult
tt0107130,kid
tt0101902,adult
tt0066011,kid
tt0183790,teen
tt0225071,adult
tt0126029,kid
tt0203009,teen
tt0213149,teen
tt0100395,adult
tt0101587,teen
tt0095647,adult
tt0054047,na
tt0094142,teen
tt0060934,na
tt0255798,teen
tt0251075,teen
tt0244244,adult
tt0065528,adult
tt0102685,adult
tt0105699,adult
tt0051885,na
tt0084805,kid
tt0230011,kid
tt0146316,teen
tt0240462,kid
tt0232500,teen
tt0212720,teen
tt0255819,adult
tt0250224,teen
tt0239395,kid
tt0271027,adult
tt0257106,adult
tt0082136,kid
tt0057007,na
tt0053925,na
tt0056217,na
tt0105378,teen
tt0055184,na
tt0049513,na
tt0089461,teen
tt0082869,adult
tt0068935,adult
tt0173840,teen
tt0250494,teen
tt0227445,adult
tt0227005,adult
tt0094602,adult
tt0096764,kid
tt0094667,adult
tt0094701,adult
tt0094746,teen
tt0094761,adult
tt0094783,adult
tt2018086,na
tt0094889,adult
tt0094894,adult
tt0094898,adult
tt0090887,teen
